,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text,lang
0,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNjdjkzOVZREAE,Jisan Samrat,https://www.google.com/maps/contrib/118292662600885622988/reviews?hl=en-CA,a year ago,2021-06-30 00:37:13.278544,5.0,109,Green Line and Orange Line,en
1,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUR5enRHYW13RRAB,Sheila Ferrando,https://www.google.com/maps/contrib/109638159456800849006/reviews?hl=en-CA,3 months ago,2021-06-30 00:37:13.279844,5.0,82,It's w metro station Google!,en
2,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNxeHVpR0NnEAE,John Mandrake,https://www.google.com/maps/contrib/104959447933364987928/reviews?hl=en-CA,3 weeks ago,2021-06-30 00:37:13.283496,4.0,47,Good metro station man,en
3,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURLdXByYmdBRRAB,Abdoulie Touray,https://www.google.com/maps/contrib/110831033570971899342/reviews?hl=en-CA,a month ago,2021-06-30 00:37:13.285167,5.0,6,Easily accessible,en
4,Lionel-Groulx,ChRDSUhNMG9nS0VJQ0FnSURLdExZUBAB,George Swanson,https://www.google.com/maps/contrib/116574250941674177524/reviews?hl=en-CA,a month ago,2021-06-30 00:37:13.286322,5.0,8,Nice metro,en
5,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSUNLdGNpY3NnRRAB,Arman Tabrizi,https://www.google.com/maps/contrib/107308451698645066784/reviews?hl=en-CA,2 months ago,2021-06-30 00:37:13.287353,5.0,4,THis is my favourite metro station!,en
6,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUR5cTdXaldREAE,Gérémy Desnoyers,https://www.google.com/maps/contrib/102746250591355553613/reviews?hl=en-CA,3 months ago,2021-06-30 00:37:13.288503,5.0,26,"One of my favorite sation, nice design and well maintained and clean, better than some other more neglected stations.",en
7,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURpb0t6V19nRRAB,Douglas Gould,https://www.google.com/maps/contrib/105812057135705203956/reviews?hl=en-CA,7 months ago,2021-06-30 00:37:13.289947,5.0,64,The best Metro transfers!,en
8,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNpbjdTRkxREAE,Hugo “hugog2773” Giles,https://www.google.com/maps/contrib/110676064748284286524/reviews?hl=en-CA,7 months ago,2021-06-30 00:37:13.290962,4.0,32,It ALWAYS gets mebto wherevi want to go!!!,en
9,Lionel-Groulx,ChZDSUhNMG9nS0VJQ0FnSUNZNnJXMlh3EAE,Maher Kouraytem (MAHERK76),https://www.google.com/maps/contrib/108185597258421269136/reviews?hl=en-CA,7 months ago,2021-06-30 00:37:13.291967,4.0,153,Oscar Peterson Station connects the green and the orange line,en
10,Lionel-Groulx,ChdDSUhNMG9nS0VJQ0FnSURpNnQyUWhBRRAB,Djamil Francis,https://www.google.com/maps/contrib/110938677726593338538/reviews?hl=en-CA,6 months ago,2021-06-30 00:37:13.292971,3.0,9,They clean it as much as possible and in general you get in and get out. So try to not let it get to you. Let's be real though when it rains this place is a swamp.,en
